project,rule,severity,line,effort,debt,tags,type,scope,cleanCodeAttribute,quickFixAvailable,cleanCodeAttributeCategory,Software_Quality_Impact,Impact_Severity,message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_0__k0,python:S3776,CRITICAL,4,13min,13min,brain-overload,CODE_SMELL,MAIN,FOCUSED,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_0__k0,python:S1192,CRITICAL,5,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal '/api/data' 3 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_0__k0,python:S1192,CRITICAL,9,6min,6min,design,CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,HIGH,Define a constant instead of duplicating this literal '/login/data' 3 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_13__k0,python:S112,MAJOR,13,20min,20min,"cwe, error-handling",CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,Replace this generic exception class with a more specific one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_13__k0,python:S112,MAJOR,15,20min,20min,"cwe, error-handling",CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,MEDIUM,Replace this generic exception class with a more specific one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_18__k0,python:S4144,MAJOR,27,15min,15min,"suspicious, duplicate, confusing",CODE_SMELL,MAIN,DISTINCT,FALSE,ADAPTABLE,MAINTAINABILITY,MEDIUM,Update this function so that its implementation is not identical to _convert_key on line 20.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_25__k0,python:S5754,CRITICAL,25,5min,5min,"error-handling, bad-practice, suspicious",CODE_SMELL,MAIN,COMPLETE,FALSE,INTENTIONAL,MAINTAINABILITY,HIGH,Specify an exception class to catch or reraise the exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_33__k0,python:S116,MINOR,2,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""FidelityPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_33__k0,python:S116,MINOR,3,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""BulkItemPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task_ClassEval_33__k0,python:S116,MINOR,4,2min,2min,convention,CODE_SMELL,MAIN,IDENTIFIABLE,FALSE,CONSISTENT,MAINTAINABILITY,LOW,"Rename this field ""LargeOrderPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
